"activity" "subject" "features" "Mean"
"LAYING" 2 "TD_BodyAccMeanX" 0.263933429042918
"SITTING" 2 "TD_BodyAccMeanX" 0.271997868830846
"STANDING" 2 "TD_BodyAccMeanX" 0.27893392046729
"WALKING" 2 "TD_BodyAccMeanX" 0.276767989083969
"WALKING_DOWNSTAIRS" 2 "TD_BodyAccMeanX" 0.289347712310811
"WALKING_UPSTAIRS" 2 "TD_BodyAccMeanX" 0.25774498502
"LAYING" 4 "TD_BodyAccMeanX" 0.271306077882096
"SITTING" 4 "TD_BodyAccMeanX" 0.271532360131915
"STANDING" 4 "TD_BodyAccMeanX" 0.279073617328244
"WALKING" 4 "TD_BodyAccMeanX" 0.275801680846561
"WALKING_DOWNSTAIRS" 4 "TD_BodyAccMeanX" 0.289413594691358
"WALKING_UPSTAIRS" 4 "TD_BodyAccMeanX" 0.259029714570681
"LAYING" 9 "TD_BodyAccMeanX" 0.273708804278846
"SITTING" 9 "TD_BodyAccMeanX" 0.267647670664921
"STANDING" 9 "TD_BodyAccMeanX" 0.280149629516908
"WALKING" 9 "TD_BodyAccMeanX" 0.277277769553073
"WALKING_DOWNSTAIRS" 9 "TD_BodyAccMeanX" 0.29155717052
"WALKING_UPSTAIRS" 9 "TD_BodyAccMeanX" 0.264987765895833
"LAYING" 10 "TD_BodyAccMeanX" 0.273126296146825
"SITTING" 10 "TD_BodyAccMeanX" 0.272317597924658
"STANDING" 10 "TD_BodyAccMeanX" 0.278265412390244
"WALKING" 10 "TD_BodyAccMeanX" 0.276320986712963
"WALKING_DOWNSTAIRS" 10 "TD_BodyAccMeanX" 0.285193381432624
"WALKING_UPSTAIRS" 10 "TD_BodyAccMeanX" 0.257303997538462
"LAYING" 12 "TD_BodyAccMeanX" 0.268467481189427
"SITTING" 12 "TD_BodyAccMeanX" 0.279296555463415
"STANDING" 12 "TD_BodyAccMeanX" 0.278486800954545
"WALKING" 12 "TD_BodyAccMeanX" 0.279287152738095
"WALKING_DOWNSTAIRS" 12 "TD_BodyAccMeanX" 0.283143697347594
"WALKING_UPSTAIRS" 12 "TD_BodyAccMeanX" 0.267764731504762
"LAYING" 13 "TD_BodyAccMeanX" 0.269038329347619
"SITTING" 13 "TD_BodyAccMeanX" 0.27162652450303
"STANDING" 13 "TD_BodyAccMeanX" 0.279423409378531
"WALKING" 13 "TD_BodyAccMeanX" 0.277861237515528
"WALKING_DOWNSTAIRS" 13 "TD_BodyAccMeanX" 0.290155087992
"WALKING_UPSTAIRS" 13 "TD_BodyAccMeanX" 0.254293068788811
"LAYING" 18 "TD_BodyAccMeanX" 0.273164975510753
"SITTING" 18 "TD_BodyAccMeanX" 0.276400788735632
"STANDING" 18 "TD_BodyAccMeanX" 0.277624410625
"WALKING" 18 "TD_BodyAccMeanX" 0.27246474125
"WALKING_DOWNSTAIRS" 18 "TD_BodyAccMeanX" 0.288586920589595
"WALKING_UPSTAIRS" 18 "TD_BodyAccMeanX" 0.260402969814857
"LAYING" 20 "TD_BodyAccMeanX" 0.240693354404706
"SITTING" 20 "TD_BodyAccMeanX" 0.278655067748344
"STANDING" 20 "TD_BodyAccMeanX" 0.279153962597403
"WALKING" 20 "TD_BodyAccMeanX" 0.274962699184783
"WALKING_DOWNSTAIRS" 20 "TD_BodyAccMeanX" 0.293429829736487
"WALKING_UPSTAIRS" 20 "TD_BodyAccMeanX" 0.264715472449438
"LAYING" 24 "TD_BodyAccMeanX" 0.278172055720961
"SITTING" 24 "TD_BodyAccMeanX" 0.270093968775424
"STANDING" 24 "TD_BodyAccMeanX" 0.281356253636364
"WALKING" 24 "TD_BodyAccMeanX" 0.27679559497076
"WALKING_DOWNSTAIRS" 24 "TD_BodyAccMeanX" 0.283042839319728
"WALKING_UPSTAIRS" 24 "TD_BodyAccMeanX" 0.270926028395062
"LAYING" 2 "TD_BodyAccMeanY" -0.0224194010678541
"SITTING" 2 "TD_BodyAccMeanY" -0.0126882559379602
"STANDING" 2 "TD_BodyAccMeanY" -0.01730907188
"WALKING" 2 "TD_BodyAccMeanY" -0.0180891428993698
"WALKING_DOWNSTAIRS" 2 "TD_BodyAccMeanY" -0.0166089916391892
"WALKING_UPSTAIRS" 2 "TD_BodyAccMeanY" -0.0202454974725333
"LAYING" 4 "TD_BodyAccMeanY" -0.0173804591208734
"SITTING" 4 "TD_BodyAccMeanY" -0.0116228350385532
"STANDING" 4 "TD_BodyAccMeanY" -0.0149156837969466
"WALKING" 4 "TD_BodyAccMeanY" -0.0163816781825397
"WALKING_DOWNSTAIRS" 4 "TD_BodyAccMeanY" -0.0152830230784568
"WALKING_UPSTAIRS" 4 "TD_BodyAccMeanY" -0.026474685789288
"LAYING" 9 "TD_BodyAccMeanY" -0.0176756151701923
"SITTING" 9 "TD_BodyAccMeanY" -0.0176829938769634
"STANDING" 9 "TD_BodyAccMeanY" -0.0146055943600483
"WALKING" 9 "TD_BodyAccMeanY" -0.0173761006408324
"WALKING_DOWNSTAIRS" 9 "TD_BodyAccMeanY" -0.01738657381324
"WALKING_UPSTAIRS" 9 "TD_BodyAccMeanY" -0.0269803187277656
"LAYING" 10 "TD_BodyAccMeanY" -0.0189036693710317
"SITTING" 10 "TD_BodyAccMeanY" -0.0126449956831507
"STANDING" 10 "TD_BodyAccMeanY" -0.0170755445723415
"WALKING" 10 "TD_BodyAccMeanY" -0.0179429043034398
"WALKING_DOWNSTAIRS" 10 "TD_BodyAccMeanY" -0.0162816702841915
"WALKING_UPSTAIRS" 10 "TD_BodyAccMeanY" -0.0250812701206294
"LAYING" 12 "TD_BodyAccMeanY" -0.0168226522934802
"SITTING" 12 "TD_BodyAccMeanY" -0.0159359072529268
"STANDING" 12 "TD_BodyAccMeanY" -0.0160773193237727
"WALKING" 12 "TD_BodyAccMeanY" -0.0164150132274405
"WALKING_DOWNSTAIRS" 12 "TD_BodyAccMeanY" -0.0170629764349544
"WALKING_UPSTAIRS" 12 "TD_BodyAccMeanY" -0.0250481278211429
"LAYING" 13 "TD_BodyAccMeanY" -0.0196757121008571
"SITTING" 13 "TD_BodyAccMeanY" -0.00867740246181818
"STANDING" 13 "TD_BodyAccMeanY" -0.0158189731971751
"WALKING" 13 "TD_BodyAccMeanY" -0.0176618899962298
"WALKING_DOWNSTAIRS" 13 "TD_BodyAccMeanY" -0.018226593257448
"WALKING_UPSTAIRS" 13 "TD_BodyAccMeanY" -0.0289568281417483
"LAYING" 18 "TD_BodyAccMeanY" -0.0193085134231183
"SITTING" 18 "TD_BodyAccMeanY" -0.0137839431074713
"STANDING" 18 "TD_BodyAccMeanY" -0.0171511133755208
"WALKING" 18 "TD_BodyAccMeanY" -0.0183679017032813
"WALKING_DOWNSTAIRS" 18 "TD_BodyAccMeanY" -0.0171696696151445
"WALKING_UPSTAIRS" 18 "TD_BodyAccMeanY" -0.0281248535823297
"LAYING" 20 "TD_BodyAccMeanY" -0.0138285779747059
"SITTING" 20 "TD_BodyAccMeanY" -0.012295550659404
"STANDING" 20 "TD_BodyAccMeanY" -0.0164018637612121
"WALKING" 20 "TD_BodyAccMeanY" -0.0203590639951087
"WALKING_DOWNSTAIRS" 20 "TD_BodyAccMeanY" -0.0172532415047973
"WALKING_UPSTAIRS" 20 "TD_BodyAccMeanY" -0.0248688995199438
"LAYING" 24 "TD_BodyAccMeanY" -0.0177846365789956
"SITTING" 24 "TD_BodyAccMeanY" -0.00918344560567797
"STANDING" 24 "TD_BodyAccMeanY" -0.0163171091308485
"WALKING" 24 "TD_BodyAccMeanY" -0.0183631186116374
"WALKING_DOWNSTAIRS" 24 "TD_BodyAccMeanY" -0.0113556971218299
"WALKING_UPSTAIRS" 24 "TD_BodyAccMeanY" -0.027257895562037
"LAYING" 2 "TD_BodyAccMeanZ" -0.108645976793991
"SITTING" 2 "TD_BodyAccMeanZ" -0.105753814070647
"STANDING" 2 "TD_BodyAccMeanZ" -0.108535089271028
"WALKING" 2 "TD_BodyAccMeanZ" -0.109784228950382
"WALKING_DOWNSTAIRS" 2 "TD_BodyAccMeanZ" -0.116239204185811
"WALKING_UPSTAIRS" 2 "TD_BodyAccMeanZ" -0.127221606366667
"LAYING" 4 "TD_BodyAccMeanZ" -0.106265285525764
"SITTING" 4 "TD_BodyAccMeanZ" -0.108029639212766
"STANDING" 4 "TD_BodyAccMeanZ" -0.104190464594244
"WALKING" 4 "TD_BodyAccMeanZ" -0.109881790340741
"WALKING_DOWNSTAIRS" 4 "TD_BodyAccMeanZ" -0.105257056887037
"WALKING_UPSTAIRS" 4 "TD_BodyAccMeanZ" -0.113786176601047
"LAYING" 9 "TD_BodyAccMeanZ" -0.108133899956731
"SITTING" 9 "TD_BodyAccMeanZ" -0.100085573328272
"STANDING" 9 "TD_BodyAccMeanZ" -0.10413312373913
"WALKING" 9 "TD_BodyAccMeanZ" -0.109765712519553
"WALKING_DOWNSTAIRS" 9 "TD_BodyAccMeanZ" -0.102535827714857
"WALKING_UPSTAIRS" 9 "TD_BodyAccMeanZ" -0.124194805017188
"LAYING" 10 "TD_BodyAccMeanZ" -0.112518750051587
"SITTING" 10 "TD_BodyAccMeanZ" -0.1059834897
"STANDING" 10 "TD_BodyAccMeanZ" -0.110380589180488
"WALKING" 10 "TD_BodyAccMeanZ" -0.109124830486111
"WALKING_DOWNSTAIRS" 10 "TD_BodyAccMeanZ" -0.110599144498426
"WALKING_UPSTAIRS" 10 "TD_BodyAccMeanZ" -0.121633710394406
"LAYING" 12 "TD_BodyAccMeanZ" -0.109221476118943
"SITTING" 12 "TD_BodyAccMeanZ" -0.112793652502439
"STANDING" 12 "TD_BodyAccMeanZ" -0.10555213337
"WALKING" 12 "TD_BodyAccMeanZ" -0.104998693995833
"WALKING_DOWNSTAIRS" 12 "TD_BodyAccMeanZ" -0.10236353435508
"WALKING_UPSTAIRS" 12 "TD_BodyAccMeanZ" -0.121098483092381
"LAYING" 13 "TD_BodyAccMeanZ" -0.104343359919048
"SITTING" 13 "TD_BodyAccMeanZ" -0.102019790079394
"STANDING" 13 "TD_BodyAccMeanZ" -0.106578968979153
"WALKING" 13 "TD_BodyAccMeanZ" -0.109184574018634
"WALKING_DOWNSTAIRS" 13 "TD_BodyAccMeanZ" -0.1034210917216
"WALKING_UPSTAIRS" 13 "TD_BodyAccMeanZ" -0.125566913328671
"LAYING" 18 "TD_BodyAccMeanZ" -0.105190624946237
"SITTING" 18 "TD_BodyAccMeanZ" -0.110811749494253
"STANDING" 18 "TD_BodyAccMeanZ" -0.110085128697917
"WALKING" 18 "TD_BodyAccMeanZ" -0.108005496994792
"WALKING_DOWNSTAIRS" 18 "TD_BodyAccMeanZ" -0.10408697313815
"WALKING_UPSTAIRS" 18 "TD_BodyAccMeanZ" -0.116911953599429
"LAYING" 20 "TD_BodyAccMeanZ" -0.0992814294217647
"SITTING" 20 "TD_BodyAccMeanZ" -0.104400446748344
"STANDING" 20 "TD_BodyAccMeanZ" -0.104412451113593
"WALKING" 20 "TD_BodyAccMeanZ" -0.109433283679348
"WALKING_DOWNSTAIRS" 20 "TD_BodyAccMeanZ" -0.102039022135811
"WALKING_UPSTAIRS" 20 "TD_BodyAccMeanZ" -0.118806340618539
"LAYING" 24 "TD_BodyAccMeanZ" -0.110088858458515
"SITTING" 24 "TD_BodyAccMeanZ" -0.0997111361576271
"STANDING" 24 "TD_BodyAccMeanZ" -0.10659137360101
"WALKING" 24 "TD_BodyAccMeanZ" -0.109080919298246
"WALKING_DOWNSTAIRS" 24 "TD_BodyAccMeanZ" -0.107000754251701
"WALKING_UPSTAIRS" 24 "TD_BodyAccMeanZ" -0.117662202037037
"LAYING" 2 "TD_BodyAccstdX" -0.965041693948498
"SITTING" 2 "TD_BodyAccstdX" -0.986576383283582
"STANDING" 2 "TD_BodyAccstdX" -0.991003232523365
"WALKING" 2 "TD_BodyAccstdX" -0.352872815763359
"WALKING_DOWNSTAIRS" 2 "TD_BodyAccstdX" 0.117952747024804
"WALKING_UPSTAIRS" 2 "TD_BodyAccstdX" -0.3408689216
"LAYING" 4 "TD_BodyAccstdX" -0.970923881353712
"SITTING" 4 "TD_BodyAccstdX" -0.982865368808511
"STANDING" 4 "TD_BodyAccstdX" -0.978358223854962
"WALKING" 4 "TD_BodyAccstdX" -0.373170916666667
"WALKING_DOWNSTAIRS" 4 "TD_BodyAccstdX" 0.0640858179740741
